[0,2,4,0] 111905,0,125328,0,0,0,0,0
[0,2,4,1] 0,126520,125328,0,0,0,0,0
[0,2,4,2] 0,0,657643,0,0,0,0,0
[0,2,4,3] 0,0,125328,155704,0,0,0,0
[0,2,4,4] 0,0,125328,0,97277,0,0,0
[0,2,4,5] 0,0,125328,0,0,111905,0,0
[0,2,4,6] 0,0,125328,0,0,0,126520,0
[0,2,4,7] 0,0,125328,0,0,0,0,141116
[0,2,5,0] 125878,0,125517,0,0,0,0,0
[0,2,5,1] 0,111327,125517,0,0,0,0,0
[0,2,5,2] 0,0,554403,0,0,0,0,0
[0,2,5,3] 0,0,125517,140410,0,0,0,0
[0,2,5,4] 0,0,125517,0,111327,0,0,0
[0,2,5,5] 0,0,125517,0,0,96820,0,0
[0,2,5,6] 0,0,125517,0,0,0,111327,0
[0,2,5,7] 0,0,125517,0,0,0,0,125878
[0,2,6,0] 139345,0,125885,0,0,0,0,0
[0,2,6,1] 0,124879,125885,0,0,0,0,0
[0,2,6,2] 0,0,481776,0,0,0,0,0
[0,2,6,3] 0,0,125885,124879,0,0,0,0
[0,2,6,4] 0,0,125885,0,124879,0,0,0
[0,2,6,5] 0,0,125885,0,0,110453,0,0
[0,2,6,6] 0,0,125885,0,0,0,96010,0
[0,2,6,7] 0,0,125885,0,0,0,0,110453
[0,2,7,0] 154148,0,124498,0,0,0,0,0
[0,2,7,1] 0,139654,124498,0,0,0,0,0
[0,2,7,2] 0,0,553168,0,0,0,0,0
[0,2,7,3] 0,0,124498,110631,0,0,0,0
[0,2,7,4] 0,0,124498,0,139654,0,0,0
[0,2,7,5] 0,0,124498,0,0,125152,0,0
[0,2,7,6] 0,0,124498,0,0,0,110631,0
[0,2,7,7] 0,0,124498,0,0,0,0,96097
[0,3,0,0] 95663,0,0,0,0,0,0,0
[0,3,0,1] 0,110113,0,0,0,0,0,0
[0,3,0,2] 0,0,124550,0,0,0,0,0
[0,3,0,3] 0,0,0,138968,0,0,0,0
[0,3,0,4] 0,0,0,0,110113,0,0,0
[0,3,0,5] 0,0,0,0,0,124550,0,0
[0,3,0,6] 0,0,0,0,0,0,138968,0
[0,3,0,7] 0,0,0,0,0,0,0,153378
[0,3,1,0] 110266,0,0,138741,0,0,0,0
[0,3,1,1] 0,95762,0,138741,0,0,0,0
[0,3,1,2] 0,0,114931,196709,0,0,0,0
[0,3,1,3] 0,0,0,320939,0,0,0,0
[0,3,1,4] 0,0,0,138741,124757,0,0,0
[0,3,1,5] 0,0,0,138741,0,110266,0,0
[0,3,1,6] 0,0,0,196709,0,0,124230,0
[0,3,1,7] 0,0,0,196709,0,0,0,133486
[0,3,2,0] 126112,0,0,140780,0,0,0,0
[0,3,2,1] 0,111549,0,140780,0,0,0,0
[0,3,2,2] 0,0,96973,140780,0,0,0,0
[0,3,2,3] 0,0,0,412981,0,0,0,0
[0,3,2,4] 0,0,0,140780,140656,0,0,0
[0,3,2,5] 0,0,0,140780,0,126112,0,0
[0,3,2,6] 0,0,0,140780,0,0,111549,0
[0,3,2,7] 0,0,0,298256,0,0,0,124354
[0,3,3,0] 141380,0,0,139506,0,0,0,0
[0,3,3,1] 0,126782,0,139506,0,0,0,0
[0,3,3,2] 0,0,112165,139506,0,0,0,0
[0,3,3,3] 0,0,0,338692,0,0,0,0
[0,3,3,4] 0,0,0,139506,155970,0,0,0
[0,3,3,5] 0,0,0,139506,0,141380,0,0
[0,3,3,6] 0,0,0,139506,0,0,126782,0
[0,3,3,7] 0,0,0,139506,0,0,0,112165
[0,3,4,0] 111905,0,0,139834,0,0,0,0
[0,3,4,1] 0,126520,0,139834,0,0,0,0
[0,3,4,2] 0,0,141116,139834,0,0,0,0
[0,3,4,3] 0,0,0,546856,0,0,0,0
[0,3,4,4] 0,0,0,139834,97277,0,0,0
[0,3,4,5] 0,0,0,139834,0,111905,0,0
[0,3,4,6] 0,0,0,139834,0,0,126520,0
[0,3,4,7] 0,0,0,139834,0,0,0,141116
[0,3,5,0] 125878,0,0,140050,0,0,0,0
[0,3,5,1] 0,111327,0,140050,0,0,0,0
[0,3,5,2] 0,0,125878,140050,0,0,0,0
[0,3,5,3] 0,0,0,500156,0,0,0,0
[0,3,5,4] 0,0,0,140050,111327,0,0,0
[0,3,5,5] 0,0,0,140050,0,96820,0,0
[0,3,5,6] 0,0,0,140050,0,0,111327,0
[0,3,5,7] 0,0,0,140050,0,0,0,125878
[0,3,6,0] 139345,0,0,140425,0,0,0,0
[0,3,6,1] 0,124879,0,140425,0,0,0,0
[0,3,6,2] 0,0,110453,140425,0,0,0,0
[0,3,6,3] 0,0,0,502721,0,0,0,0
[0,3,6,4] 0,0,0,140425,124879,0,0,0
[0,3,6,5] 0,0,0,140425,0,110453,0,0
[0,3,6,6] 0,0,0,140425,0,0,96010,0
[0,3,6,7] 0,0,0,140425,0,0,0,110453
[0,3,7,0] 154148,0,0,138938,0,0,0,0
[0,3,7,1] 0,139654,0,138938,0,0,0,0
[0,3,7,2] 0,0,125152,138938,0,0,0,0
[0,3,7,3] 0,0,0,423525,0,0,0,0
[0,3,7,4] 0,0,0,138938,139654,0,0,0
[0,3,7,5] 0,0,0,138938,0,125152,0,0
[0,3,7,6] 0,0,0,138938,0,0,110631,0
[0,3,7,7] 0,0,0,138938,0,0,0,96097
[0,4,0,0] 95663,0,0,0,0,0,0,0
[0,4,0,1] 0,110113,0,0,0,0,0,0
[0,4,0,2] 0,0,124550,0,0,0,0,0
[0,4,0,3] 0,0,0,138968,0,0,0,0
[0,4,0,4] 0,0,0,0,110113,0,0,0
[0,4,0,5] 0,0,0,0,0,124550,0,0
[0,4,0,6] 0,0,0,0,0,0,138968,0
[0,4,0,7] 0,0,0,0,0,0,0,153378
[0,4,1,0] 110266,0,0,0,109862,0,0,0
[0,4,1,1] 0,95762,0,0,109862,0,0,0
[0,4,1,2] 0,0,110266,0,109862,0,0,0
[0,4,1,3] 0,0,0,124757,109862,0,0,0
[0,4,1,4] 0,0,0,0,190373,0,0,0
[0,4,1,5] 0,0,0,0,109862,110266,0,0
[0,4,1,6] 0,0,0,0,109862,0,124757,0
[0,4,1,7] 0,0,0,0,109862,0,0,139229
[0,4,2,0] 126112,0,0,0,111649,0,0,0
[0,4,2,1] 0,111549,0,0,111649,0,0,0
[0,4,2,2] 0,0,96973,0,111649,0,0,0
[0,4,2,3] 0,0,0,111549,111649,0,0,0
[0,4,2,4] 0,0,0,0,294385,0,0,0
[0,4,2,5] 0,0,0,0,111649,126112,0,0
[0,4,2,6] 0,0,0,0,111649,0,111549,0
[0,4,2,7] 0,0,0,0,111649,0,0,126112
[0,4,3,0] 141380,0,0,0,110511,0,0,0
[0,4,3,1] 0,126782,0,0,110511,0,0,0
[0,4,3,2] 0,0,112165,0,110511,0,0,0
[0,4,3,3] 0,0,0,97535,110511,0,0,0
[0,4,3,4] 0,0,0,0,372201,0,0,0
[0,4,3,5] 0,0,0,0,110511,141380,0,0
[0,4,3,6] 0,0,0,0,110511,0,126782,0
[0,4,3,7] 0,0,0,0,110511,0,0,112165
[0,4,4,0] 111905,0,0,0,110862,0,0,0
[0,4,4,1] 0,126520,0,0,110862,0,0,0
[0,4,4,2] 0,0,141116,0,110862,0,0,0
[0,4,4,3] 0,0,0,155704,110862,0,0,0
[0,4,4,4] 0,0,0,0,184883,0,0,0
